"","building_eval_score","year_built","year_evaluated","wardname","reactive_score"
"202",82,1986,2023,"Toronto-Danforth",0
"203",98,1961,2023,"Toronto-Danforth",0
"204",95,1960,2024,"Toronto-Danforth",0
"205",94,1955,2023,"Toronto-Danforth",0
"206",79,1950,2024,"Toronto-Danforth",0
"207",86,1950,2024,"Toronto-Danforth",0
"208",98,1960,2024,"Toronto-Danforth",0
"209",89,1956,2023,"Toronto-Danforth",0
"210",81,1960,2024,"Toronto-Danforth",0
"211",96,1965,2024,"Toronto-Danforth",0
"212",93,1958,2023,"Toronto-Danforth",0
"213",93,1962,2023,"Toronto-Danforth",0
"214",83,1950,2024,"Toronto-Danforth",0
"215",96,1965,2023,"Toronto-Danforth",0
"216",88,1960,2024,"Toronto-Danforth",0
"217",89,1959,2023,"Toronto-Danforth",0
"218",86,1967,2024,"Toronto-Danforth",0
"219",91,1968,2023,"Toronto-Danforth",-1
"220",89,1965,2024,"Toronto-Danforth",0
"221",98,1959,2023,"Toronto-Danforth",0
"222",87,2004,2023,"Toronto-Danforth",0
"223",97,1955,2023,"Toronto-Danforth",0
"224",84,1927,2023,"Toronto-Danforth",-1
"225",97,1959,2023,"Don Valley East",0
"226",80,1965,2023,"Scarborough-Guildwood",0
"227",93,1965,2024,"Scarborough-Guildwood",0
"228",87,1953,2024,"Eglinton-Lawrence",0
"229",99,1983,2023,"Parkdale-High Park",0
"230",86,1995,2023,"Beaches-East York",0
"231",95,1989,2023,"Toronto-Danforth",-2
"232",92,2003,2024,"Beaches-East York",0
"233",97,2002,2023,"Beaches-East York",0
"234",99,1990,2023,"Toronto-Danforth",0
"235",89,1956,2023,"Scarborough Centre",0
"236",90,1955,2023,"Scarborough Centre",0
"237",89,1960,2024,"Scarborough Centre",0
"238",88,1958,2024,"Scarborough Centre",0
"239",90,1956,2023,"Scarborough Centre",0
"240",90,1955,2024,"Scarborough Centre",0
"241",94,1955,2024,"Scarborough Centre",0
"242",94,1955,2023,"Scarborough Centre",0
"243",88,1971,2023,"Beaches-East York",0
"244",83,1971,2024,"Beaches-East York",0
"245",88,1971,2023,"Beaches-East York",0
"246",96,1952,2023,"Etobicoke-Lakeshore",0
"247",90,1960,2024,"Etobicoke-Lakeshore",-1
"248",91,1956,2024,"Etobicoke-Lakeshore",0
"249",92,1954,2024,"Etobicoke-Lakeshore",-1
"250",93,1954,2024,"Etobicoke-Lakeshore",-1
"251",85,1958,2023,"Etobicoke-Lakeshore",0
"252",91,1962,2024,"Etobicoke-Lakeshore",0
"253",87,1955,2024,"Etobicoke-Lakeshore",0
